stableId,version,countryScope,subregionScope,communityScope,category,difficulty,questionText,acceptedAnswer,lifecycleStatus,specialistReviewRequired,sensitivityNotes,sourceTitle,sourceUrl,humanDecision,humanReviewer,humanReviewDate,humanReviewNotes
west_gelede_three_country_scope,1,Benin; Nigeria; Togo,Yoruba-Nago cultural areas,Yoruba-Nago communities,TRADITION,introductory,Across which three present-day countries is Gelede documented by UNESCO?,"Benin, Nigeria and Togo",draft,yes,Living ceremonial or religious practice: specialist community review is required before progression beyond draft.,Oral heritage of Gelede,https://ich.unesco.org/en/lists?RL=00002,pending,,,
west_gelede_public_elements,1,Benin; Nigeria; Togo,Yoruba-Nago cultural areas,Yoruba-Nago communities,ART,intermediate,Which combination is part of UNESCO’s public description of Gelede?,"Carved masks, dance and Yoruba-language chants",draft,yes,Living ceremonial or religious practice: specialist community review is required before progression beyond draft.,Oral heritage of Gelede,https://ich.unesco.org/en/lists?RL=00002,pending,,,
west_benin_togo_koutammakou_people,1,Benin; Togo,Atacora region,Batammariba,PEOPLES & LANGUAGE,introductory,Which community’s living cultural landscape is Koutammakou?,The Batammariba,draft,no,,"Koutammakou, the Land of the Batammariba",https://whc.unesco.org/en/list/1140,pending,,,
west_benin_togo_takienta,1,Benin; Togo,Atacora region,Batammariba,ART,intermediate,"In Koutammakou, what does takienta name?",A singular Batammariba mud tower-house,draft,no,,"Koutammakou, the Land of the Batammariba",https://whc.unesco.org/en/list/1140,pending,,,
west_burkina_tiebele_community,1,Burkina Faso,Tiébélé,Kasena,PEOPLES & LANGUAGE,advanced,The Royal Court of Tiébélé expresses the cultural values of which people?,Kasena,draft,no,,Royal Court of Tiébélé,https://whc.unesco.org/en/list/1713/,pending,,,
west_burkina_tiebele_earthen_complex,1,Burkina Faso,Tiébélé,Kasena,ART,introductory,How does UNESCO characterize the Royal Court of Tiébélé?,"An earthen complex of concessions, passages and gathering spaces",draft,no,,Royal Court of Tiébélé,https://whc.unesco.org/en/list/1713/,pending,,,
west_senufo_balafon_form,1,Mali; Burkina Faso; Côte d’Ivoire,Cross-border Senufo areas,Senufo communities,MUSIC,intermediate,What kind of instrument is the West African balafon in UNESCO’s multinational inscription?,A wooden xylophone,draft,no,,Cultural practices and expressions linked to Balafon and Kolintang,https://ich.unesco.org/en/RL/cultural-practices-and-expressions-linked-to-balafon-and-kolintang-in-mali-burkina-faso-cote-d-ivoire-and-indonesia-02131,pending,,,
west_senufo_balafon_scope,1,Mali; Burkina Faso; Côte d’Ivoire,Cross-border Senufo areas,Senufo communities,GEOGRAPHY,introductory,Which statement accurately scopes the documented Senufo balafon heritage?,"It crosses Mali, Burkina Faso and Côte d’Ivoire",draft,no,,Cultural practices and expressions linked to Balafon and Kolintang,https://ich.unesco.org/en/RL/cultural-practices-and-expressions-linked-to-balafon-and-kolintang-in-mali-burkina-faso-cote-d-ivoire-and-indonesia-02131,pending,,,
west_mali_yaaral_degal_crossings,1,Mali,Inner Niger Delta,Peul pastoral communities,TRADITION,intermediate,What seasonal activity do the Yaaral and Degal festivities mark?,Cattle crossing between Sahelian and Inner Niger Delta pastures,draft,no,,Cultural space of the Yaaral and Degal,https://ich.unesco.org/en/RL/cultural-space-of-the-yaaral-and-degal-00132,pending,,,
west_mali_yaaral_degal_timing,1,Mali,Inner Niger Delta,Peul pastoral communities,GEOGRAPHY,advanced,What helps determine the exact timing of Yaaral and Degal festivities?,Pasture conditions and the river level,draft,yes,Living ceremonial or religious practice: specialist community review is required before progression beyond draft.,Cultural space of the Yaaral and Degal,https://ich.unesco.org/en/RL/cultural-space-of-the-yaaral-and-degal-00132,pending,,,
west_mali_mbolon_structure,1,Mali,Sikasso and Koulikoro regions,Mandinka cultural areas and other southern Malian practitioners,MUSIC,introductory,Which description fits the M’Bolon?,A string instrument with a skin-covered calabash sound box,draft,no,,Cultural practices and expressions linked to the M’Bolon,https://ich.unesco.org/en/USL/cultural-practices-and-expressions-linked-to-the-m-bolon-a-traditional-musical-percussion-instrument-01689,pending,,,
west_mali_mbolon_uses,1,Mali,Southern Mali,,MUSIC,intermediate,Which statement reflects the documented uses of the M’Bolon?,"Its uses vary with string number and include social, agricultural and ceremonial settings",draft,yes,Living ceremonial or religious practice: specialist community review is required before progression beyond draft.,Cultural practices and expressions linked to the M’Bolon,https://ich.unesco.org/en/USL/cultural-practices-and-expressions-linked-to-the-m-bolon-a-traditional-musical-percussion-instrument-01689,pending,,,
west_mauritania_four_ksour,1,Mauritania,Saharan caravan routes,,GEOGRAPHY,introductory,Which set contains the four ancient Mauritanian ksour on UNESCO’s World Heritage List?,"Ouadane, Chinguetti, Tichitt and Oualata",draft,no,,"Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata",https://whc.unesco.org/en/list/750/,pending,,,
west_mauritania_ksour_urban_form,1,Mauritania,Saharan caravan routes,,ART & HISTORY,intermediate,Which urban form characterizes Mauritania’s ancient ksour?,Patio houses along narrow streets around a mosque with a square minaret,draft,no,,"Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata",https://whc.unesco.org/en/list/750/,pending,,,
west_mauritania_couscous_process,1,Mauritania,,,FOOD,advanced,Which step belongs to the documented preparation of couscous?,Rolling semolina by hand before steaming it,draft,no,,"Knowledge, know-how and practices pertaining to the production and consumption of couscous",https://ich.unesco.org/en/RL/knowledge-know-how-and-practices-pertaining-to-the-production-and-consumption-of-couscous-01602,pending,,,
west_mauritania_couscous_variation,1,Mauritania,,,FOOD,introductory,Why is one fixed description of couscous accompaniments misleading?,"Vegetables and meats vary by region, season and occasion",draft,no,,"Knowledge, know-how and practices pertaining to the production and consumption of couscous",https://ich.unesco.org/en/RL/knowledge-know-how-and-practices-pertaining-to-the-production-and-consumption-of-couscous-01602,pending,,,
west_niger_joking_relationships_purpose,1,Niger,,Participating ethnolinguistic communities,PHILOSOPHY,intermediate,What social purpose is associated with joking relationships in Niger?,"Supporting solidarity, reconciliation and peaceful dispute handling",draft,yes,Ritualized joking can be misrepresented as ordinary stereotyping: Nigerien community review is required.,Practices and expressions of joking relationships in Niger,https://ich.unesco.org/en/RL/practices-and-expressions-of-joking-relationships-in-niger-01009,pending,,,
west_niger_joking_relationships_settings,1,Niger,,Participating ethnolinguistic communities,TRADITION,introductory,Where may Nigerien joking relationships be practised according to UNESCO?,In daily public life and at family or community occasions,draft,yes,Ritualized joking can be misrepresented as ordinary stereotyping: Nigerien community review is required.,Practices and expressions of joking relationships in Niger,https://ich.unesco.org/en/RL/practices-and-expressions-of-joking-relationships-in-niger-01009,pending,,,
west_tuareg_imzad_performer,1,Mali; Niger,Tuareg communities across the Sahara and Sahel,Tuareg communities,MUSIC,intermediate,Who is documented as playing the Imzad in Tuareg communities?,Women playing a single-stringed bowed instrument,draft,no,,Practices and knowledge linked to the Imzad,https://ich.unesco.org/en/RL/practices-and-knowledge-linked-to-the-imzad-of-the-tuareg-communities-of-algeria-mali-and-niger-00891,pending,,,
west_tuareg_imzad_materials,1,Mali; Niger,Tuareg communities across the Sahara and Sahel,Tuareg communities,ART,advanced,Which materials are used to construct an Imzad?,"A hollowed gourd, stretched skin and wooden fittings",draft,no,,Practices and knowledge linked to the Imzad,https://ich.unesco.org/en/RL/practices-and-knowledge-linked-to-the-imzad-of-the-tuareg-communities-of-algeria-mali-and-niger-00891,pending,,,
west_cote_ivoire_narrow_strip_weaving,1,Côte d’Ivoire,,"Gouro, Baoulé, Malinké, Senufo, Koulango, Nafana and Abron communities",TEXTILES,introductory,How are many traditional cotton cloths in Côte d’Ivoire assembled?,Narrow woven strips are joined to form a larger patterned cloth,draft,no,,Traditional skills of loincloth weaving in Côte d’Ivoire,https://ich.unesco.org/en/RL/traditional-skills-of-loincloth-weaving-in-cote-d-ivoire-01949,pending,,,
west_cote_ivoire_dida_raffia,1,Côte d’Ivoire,Dida areas,Dida communities,TEXTILES,intermediate,Which material and method are associated with Dida textile production in UNESCO’s account?,Raffia fibres woven crossways using a spoon,draft,no,,Traditional skills of loincloth weaving in Côte d’Ivoire,https://ich.unesco.org/en/RL/traditional-skills-of-loincloth-weaving-in-cote-d-ivoire-01949,pending,,,
west_cote_ivoire_zaouli_scope,1,Côte d’Ivoire,Bouaflé and Zuénoula departments,Guro communities,MUSIC,introductory,Zaouli is specifically associated with which communities and places?,Guro communities in Bouaflé and Zuénoula,draft,no,,"Zaouli, popular music and dance of the Guro communities in Côte d’Ivoire",https://ich.unesco.org/en/RL/zaouli-popular-music-and-dance-of-the-guro-communities-in-cote-d-ivoire-01255,pending,,,
west_cote_ivoire_zaouli_arts,1,Côte d’Ivoire,Bouaflé and Zuénoula departments,Guro communities,ART,intermediate,Which art forms meet in a Zaouli performance?,"Mask sculpture, costume weaving, music, song and dance",draft,no,,"Zaouli, popular music and dance of the Guro communities in Côte d’Ivoire",https://ich.unesco.org/en/RL/zaouli-popular-music-and-dance-of-the-guro-communities-in-cote-d-ivoire-01255,pending,,,
west_cote_ivoire_gbofe_name,1,Côte d’Ivoire,Afounkaha,Tagbana community,LANGUAGE,advanced,"In the Tagbana community of Afounkaha, what can the word Gbofe refer to?",Both the transverse horns and the performance as a whole,draft,no,,Gbofe of Afounkaha,https://ich.unesco.org/en/lists?USL=00005,pending,,,
west_cote_ivoire_gbofe_ensemble,1,Côte d’Ivoire,Afounkaha,Tagbana community,MUSIC,introductory,Which description matches the documented Gbofe ensemble?,Six transverse horns accompanied by choirs and drums,draft,no,,Gbofe of Afounkaha,https://ich.unesco.org/en/lists?USL=00005,pending,,,
west_cote_ivoire_attieke_base,1,Côte d’Ivoire,Lagoon areas,Lagoon peoples,FOOD,intermediate,What is the principal ingredient of attiéké?,Cassava,draft,no,,Skills related to Attiéké production in Côte d’Ivoire,https://ich.unesco.org/en/RL/skills-related-to-attieke-production-in-cote-d-ivoire-02086,pending,,,
west_cote_ivoire_attieke_process,1,Côte d’Ivoire,Lagoon areas,Lagoon peoples,FOOD,introductory,Which sequence belongs to attiéké production?,"Prepare fermented cassava semolina, steam it, then cool it",draft,yes,Gendered roles are described by the cited source and must not be presented as universal or prescriptive; specialist review is required.,Skills related to Attiéké production in Côte d’Ivoire,https://ich.unesco.org/en/RL/skills-related-to-attieke-production-in-cote-d-ivoire-02086,pending,,,
west_guinea_sosso_bala_location,1,Guinea,Nyagassola,Dökala family and Kouyaté griots,GEOGRAPHY,intermediate,Where is the original Sosso-Bala preserved according to UNESCO?,Nyagassola in northern Guinea,draft,yes,Sacred or custodial heritage: specialist community review is required and no restricted knowledge may be added.,Cultural space of Sosso-Bala,https://ich.unesco.org/en/RL/cultural-space-of-sosso-bala-00009,pending,,,
west_guinea_sosso_bala_guardian,1,Guinea,Nyagassola,Dökala family and Kouyaté griots,ORAL HISTORY,advanced,What title does UNESCO use for the guardian of the Sosso-Bala?,Balatigui,draft,yes,Sacred or custodial heritage: specialist community review is required and no restricted knowledge may be added.,Cultural space of Sosso-Bala,https://ich.unesco.org/en/RL/cultural-space-of-sosso-bala-00009,pending,,,
west_guinea_bissau_bijagos_islands,1,Guinea-Bissau,Bolama-Bijagós Archipelago,Island communities of the Bijagós,GEOGRAPHY,introductory,How many islands does UNESCO describe in the Bolama-Bijagós archipelago?,88,draft,no,,Bolama-Bijagós,https://www.unesco.org/en/mab/bolama-bijagos,pending,,,
west_guinea_bissau_bijagos_livelihoods,1,Guinea-Bissau,Bolama-Bijagós Archipelago,Island communities of the Bijagós,GEOGRAPHY,intermediate,Which activities are documented among communities of the Bolama-Bijagós Biosphere Reserve?,"Farming, fishing and shell gathering",draft,no,,Bolama-Bijagós,https://www.unesco.org/en/mab/bolama-bijagos,pending,,,
west_liberia_vai_creator,1,Liberia,,Vai speakers and writers,LANGUAGE,introductory,Who is credited by the Smithsonian with creating the Vai script around 1832?,Momolu Duwalu Bukele,draft,no,,Inscribing Meaning: Writing and Graphic Systems in African Art,https://africa.si.edu/exhibitions/inscribing-meaning-writing-and-graphic-systems-africa-art,pending,,,
west_liberia_vai_syllabary,1,Liberia,,Vai speakers and writers,LANGUAGE,intermediate,Why is Vai described as a syllabary?,Each character represents a consonant-and-vowel syllable,draft,no,,Inscribing Meaning: Writing and Graphic Systems in African Art,https://africa.si.edu/exhibitions/inscribing-meaning-writing-and-graphic-systems-africa-art,pending,,,
west_sierra_leone_sowei_names,1,Sierra Leone; Liberia,,"Mende, Sherbro, Vai and Gola communities",ART,advanced,Which naming distinction appears in the Smithsonian record for this helmet-mask tradition?,"Sowei among Mende, Sherbro and Vai; zogbe among Gola",draft,yes,Initiatory practice: specialist review by relevant community knowledge-holders is required; do not add restricted details.,Helmet mask,https://www.si.edu/object/helmet-mask%3Anmafa_2012-11-1,pending,,,
west_sierra_leone_sowei_performance,1,Sierra Leone; Liberia,,"Mende, Sherbro, Vai and Gola communities",TRADITION,introductory,Who performs the sowei or zogbe helmet masks described by the Smithsonian?,Members of the women’s Sande society,draft,yes,Initiatory practice: specialist review by relevant community knowledge-holders is required; do not add restricted details.,Helmet mask,https://www.si.edu/object/helmet-mask%3Anmafa_2012-11-1,pending,,,
west_nigeria_kano_durbar_calendar,1,Nigeria,Kano,Kano Durbar participants,TRADITION,intermediate,Kano Durbar takes place in connection with which celebrations?,Eid al-Fitr and Eid al-Adha,draft,no,,Durbar in Kano,https://ich.unesco.org/en/RL/durbar-in-kano-01895,pending,,,
west_nigeria_kano_durbar_crafts,1,Nigeria,Kano,Kano Durbar participants,ART,introductory,Which craft group is documented as part of Kano Durbar knowledge?,"Leatherwork, weaving, dyeing, embroidery and blacksmithing",draft,no,,Durbar in Kano,https://ich.unesco.org/en/RL/durbar-in-kano-01895,pending,,,
west_nigeria_kwagh_hir_roots,1,Nigeria,Tiv-speaking areas,Tiv communities,ORAL HISTORY,intermediate,Kwagh-Hir theatre developed from which Tiv practice?,Kwagh-alom family storytelling,draft,no,,Kwagh-Hir theatrical performance,https://ich.unesco.org/en/RL/kwagh-hir-theatrical-performance-00683,pending,,,
west_nigeria_kwagh_hir_forms,1,Nigeria,Tiv-speaking areas,Tiv communities,ART,advanced,Which combination belongs to Kwagh-Hir performance?,"Puppetry, masquerade, poetry, music and dance",draft,no,,Kwagh-Hir theatrical performance,https://ich.unesco.org/en/RL/kwagh-hir-theatrical-performance-00683,pending,,,
west_nigeria_argungu_location,1,Nigeria,"Argungu, north-western Nigeria",Argungu and neighbouring communities,GEOGRAPHY,introductory,Near which river is the Argungu International Fishing and Cultural Festival held?,Matan Fada River,draft,no,,Argungu international fishing and cultural festival,https://ich.unesco.org/en/RL/argungu-international-fishing-and-cultural-festival-00901,pending,,,
west_nigeria_argungu_water_events,1,Nigeria,"Argungu, north-western Nigeria",Argungu and neighbouring communities,TRADITION,intermediate,Which activities are part of Argungu’s kabanci water competitions?,Hand fishing and canoe racing,draft,no,,Argungu international fishing and cultural festival,https://ich.unesco.org/en/RL/argungu-international-fishing-and-cultural-festival-00901,pending,,,
west_mauritania_mahadra_method,1,Mauritania,,Mahadra teachers and learners,ORAL HISTORY,introductory,Which learning methods are central to Mauritania’s mahadra system?,Listening and memorization,draft,no,,"Mahadra, a community system for transmission of traditional knowledge and oral expressions",https://ich.unesco.org/en/RL/mahadra-a-community-system-for-transmission-of-traditional-knowledge-and-oral-expressions-01960,pending,,,
west_mauritania_mahadra_topics,1,Mauritania,,Mahadra teachers and learners,ORAL HISTORY,intermediate,Which range of subjects may be taught through mahadra?,"Literature, religious sciences and knowledge of the desert environment",draft,yes,Religious learning is part of the public source description; Mauritanian specialist review is required before progression.,"Mahadra, a community system for transmission of traditional knowledge and oral expressions",https://ich.unesco.org/en/RL/mahadra-a-community-system-for-transmission-of-traditional-knowledge-and-oral-expressions-01960,pending,,,
west_mauritania_zaffa_variation,1,Mauritania,,Mauritanian zaffa practitioners,TRADITION,advanced,Which statement responsibly describes zaffa in Mauritania?,"It is a bridal procession whose music, rituals and symbols vary by community",draft,yes,Wedding practices vary between participating communities; Mauritanian specialist review is required and the example must not be universalized.,The zaffa in the traditional wedding,https://ich.unesco.org/en/RL/the-zaffa-in-the-traditional-wedding-02283,pending,,,
west_ghana_akan_rooster_proverb,1,Ghana; Côte d’Ivoire,Akan cultural areas,Akan communities,PROVERBS,introductory,What lesson is associated with the rooster-head Akan goldweight in the Smithsonian record?,Respond to a situation with proportionate force,draft,yes,Proverb wording and interpretation require review by an Akan language and cultural specialist before progression.,Weight,https://www.si.edu/object/weight%3Anmafa_75-22-312,pending,,,
west_nigeria_yoruba_morning_greeting,1,Nigeria,South-western Nigeria,Yorùbá-speaking communities,TRADITION,intermediate,Which greeting does the cited Yorùbá language textbook give for the morning?,Káàárọ̀,draft,yes,"Language accuracy, tone marks and social context require review by a Yorùbá language specialist before progression.","Yorùbá Yé Mi, Chapter 1: Greetings",https://coerll.utexas.edu/yemi/pdfs/yy_ch1.pdf,pending,,,
