sourceId,title,organisationOrAuthor,urlOrReference,sourceType,accessDate,candidateCount,relevantClaim
NA-S18,Al-Sirah Al-Hilaliyyah epic — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/al-sirah-al-hilaliyyah-epic-00075,heritage,2026-09-06,2,"Egyptian poets perform the Hilali epic in integral musical form with percussion or a two-string spike fiddle, preserving an Arabic oral tradition."
NA-S19,"Tahteeb, stick game — UNESCO Intangible Cultural Heritage",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/tahteeb-stick-game-01189,heritage,2026-09-06,2,"Tahteeb is now a festive Upper Egyptian game featuring a controlled, non-violent exchange between two stick-wielding participants with folk music."
NA-S20,Traditional hand puppetry — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/traditional-hand-puppetry-01376,heritage,2026-09-06,2,Al-Aragoz is Egyptian hand-puppet theatre in which a hidden puppeteer uses a voice modifier and improvises with an assistant and the audience.
NA-S21,Handmade weaving in Upper Egypt (Sa'eed) — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/handmade-weaving-in-upper-egypt-sa-eed-01605,heritage,2026-09-06,2,"Upper Egyptian handloom weaving uses complex preparation, threading and weaving skills with linen, cotton, wool or silk and is threatened by economic change."
NA-S22,Festivals related to the Journey of the Holy family in Egypt — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/festivals-related-to-the-journey-of-the-holy-family-in-egypt-01700,heritage,2026-09-06,2,"Two Egyptian festival cycles commemorate the Holy Family journey through processions, performances, shared foods and participation by Coptic Christian and Muslim residents."
NA-S23,Historic Cairo — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/89,heritage,2026-09-06,2,"Historic Cairo preserves neighbourhoods and monuments including mosques, madrasas, hammams and fountains from successive periods of the city's history."
NA-S24,Gebel Barkal and the Sites of the Napatan Region — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1073,heritage,2026-09-06,2,"Five sites along more than sixty kilometres of the Nile preserve Napatan and Meroitic tombs, pyramids, temples, palaces and living complexes."
NA-S25,Archaeological Sites of the Island of Meroe — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1336,heritage,2026-09-06,2,"Meroe, Naqa and Musawwarat es-Sufra preserve Kushite urban, religious, funerary, industrial and water-management remains between the Nile and Atbara."
NA-S26,Sanganeb Marine National Park and Dungonab Bay – Mukkawar Island Marine National Park — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/262,heritage,2026-09-06,2,"Sudan's serial Red Sea property includes the Sanganeb atoll and Dungonab Bay habitats of coral reefs, mangroves, seagrass and significant marine fauna."
NA-S27,"Date palm, knowledge, skills, traditions and practices — UNESCO Intangible Cultural Heritage",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/date-palm-knowledge-skills-traditions-and-practices-01902,heritage,2026-09-06,2,"Communities across participating countries, including Egypt, Morocco, Sudan and Tunisia, use date-palm knowledge in cultivation, crafts, food and social traditions."
NA-S28,"Arabic calligraphy: knowledge, skills and practices — UNESCO Intangible Cultural Heritage",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/arabic-calligraphy-knowledge-skills-and-practices-01718,heritage,2026-09-06,2,Arabic calligraphy uses the alphabet's twenty-eight letters in cursive writing from right to left and is transmitted through formal and informal education.
NA-S29,Archaeological Site of Leptis Magna — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/183,heritage,2026-09-06,2,"Leptis Magna grew from a Phoenician trading port and was greatly embellished under the Severan emperors, preserving an artificial harbour and civic buildings."
NA-S30,Archaeological Site of Cyrene — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/190,heritage,2026-09-06,2,"Cyrene was founded by Greeks from Thera, became a principal Hellenic city, was Romanized and remained a major capital until the earthquake of 365 CE."
NA-S31,Archaeological Site of Sabratha — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/184,heritage,2026-09-06,2,"Sabratha was a Phoenician trading post for African hinterland products, entered Massinissa's Numidian kingdom and was later Romanized and rebuilt."
NA-S32,Old Town of Ghadamès — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/362,heritage,2026-09-06,2,"Ghadamès is an oasis settlement whose vertically divided houses, covered alleys, terraces, water system and palm groves respond to Saharan conditions."
NA-S33,Rock-Art Sites of Tadrart Acacus — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/287,heritage,2026-09-06,2,"Tadrart Acacus has thousands of rock images dating from about 12,000 BCE to 100 CE that record changing environments and ways of life in the Sahara."
