stableId,version,countryScope,subregionScope,communityScope,category,difficulty,questionText,acceptedAnswer,lifecycleStatus,specialistReviewRequired,sensitivityNotes,sourceTitle,sourceUrl,humanDecision,humanReviewer,humanReviewDate,humanReviewNotes
central_chad_ounianga_groups,1,Chad,North-east Sahara,Ounianga communities,GEOGRAPHY,advanced,What are the two principal Ounianga lake groups called?,Ounianga Kebir and Ounianga Serir,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Lakes of Ounianga,https://whc.unesco.org/en/list/1400,pending,,,
central_chad_ounianga_climate,1,Chad,North-east Sahara,Ounianga communities,GEOGRAPHY,introductory,Why is Ounianga's freshwater system unusual?,Permanent lakes persist in a hyperarid desert,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Lakes of Ounianga,https://whc.unesco.org/en/list/1400,pending,,,
central_chad_ounianga_past,1,Chad,North-east Sahara,Ounianga communities,HISTORY,intermediate,"What occupied the Ounianga basin less than 10,000 years ago?",A much larger lake,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Lakes of Ounianga,https://whc.unesco.org/en/list/1400,pending,,,
central_chad_ennedi_rock,1,Chad,North-east,Ennedi communities and heritage custodians,GEOGRAPHY,introductory,What kind of rock dominates the Ennedi Massif?,Sandstone,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Ennedi Massif: Natural and Cultural Landscape,https://whc.unesco.org/en/list/1475,pending,,,
central_chad_ennedi_forms,1,Chad,North-east,Ennedi communities and heritage custodians,GEOGRAPHY,intermediate,Which landforms characterize Ennedi?,"Canyons, cliffs, natural arches and rock towers",draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Ennedi Massif: Natural and Cultural Landscape,https://whc.unesco.org/en/list/1475,pending,,,
central_chad_ennedi_water,1,Chad,North-east,Ennedi communities and heritage custodians,TRADITION,advanced,Why is permanent water in Ennedi's larger canyons important?,"It sustains plants, animals and human life",draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Ennedi Massif: Natural and Cultural Landscape,https://whc.unesco.org/en/list/1475,pending,,,
central_chad_ennedi_images,1,Chad,North-east,Ennedi communities and heritage custodians,ART & HISTORY,introductory,Where are Ennedi's thousands of rock images found?,"On caves, canyon walls and rock shelters",draft,yes,Archaeology and ancient political history require local heritage review; do not map past cultures directly onto modern identities.,Ennedi Massif: Natural and Cultural Landscape,https://whc.unesco.org/en/list/1475,pending,,,
central_congo_rumba_name,1,Democratic Republic of the Congo; Congo,Urban centres,Congolese rumba practitioners and diaspora,LANGUAGE,intermediate,"What does the Kikongo word nkumba, cited in the history of Congolese rumba, mean?",Waist,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,Congolese rumba,https://ich.unesco.org/en/RL/congolese-rumba-01711,pending,,,
central_congo_rumba_contexts,1,Democratic Republic of the Congo; Congo,Urban centres,Congolese rumba practitioners and diaspora,MUSIC,introductory,In which settings can Congolese rumba be performed?,"Celebration and mourning, in private, public and religious spaces",draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,Congolese rumba,https://ich.unesco.org/en/RL/congolese-rumba-01711,pending,,,
central_congo_rumba_transmission,1,Democratic Republic of the Congo; Congo,Urban centres,Congolese rumba practitioners and diaspora,MODERN HISTORY,intermediate,How is Congolese rumba passed to younger artists?,"Through neighbourhood clubs, schools, community groups and apprenticeships",draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,Congolese rumba,https://ich.unesco.org/en/RL/congolese-rumba-01711,pending,,,
central_congo_rumba_women,1,Democratic Republic of the Congo; Congo,Urban centres,Congolese rumba practitioners and diaspora,MUSIC,advanced,In which styles does UNESCO highlight women's role in Congolese rumba?,Religious and romantic styles,draft,yes,"Marriage and gender material: require locally grounded, gender-aware review and do not present one documented practice as universal or prescriptive.",Congolese rumba,https://ich.unesco.org/en/RL/congolese-rumba-01711,pending,,,
central_congo_odzala_process,1,Congo,Odzala-Kokoua,Local and Indigenous communities around Odzala-Kokoua,GEOGRAPHY,introductory,Which long-term ecological process is especially visible at Odzala-Kokoua?,Forest recolonizing savanna after glacial periods,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Forest Massif of Odzala-Kokoua,https://whc.unesco.org/en/list/692,pending,,,
central_congo_odzala_ecosystems,1,Congo,Odzala-Kokoua,Local and Indigenous communities around Odzala-Kokoua,GEOGRAPHY,intermediate,Which ecosystems converge at Odzala-Kokoua?,"Congolese forest, Lower Guinean forest and savanna",draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Forest Massif of Odzala-Kokoua,https://whc.unesco.org/en/list/692,pending,,,
central_congo_odzala_primates,1,Congo,Odzala-Kokoua,Local and Indigenous communities around Odzala-Kokoua,GEOGRAPHY,introductory,What regional biodiversity distinction does UNESCO give Odzala-Kokoua?,The richest primate diversity in Central Africa,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Forest Massif of Odzala-Kokoua,https://whc.unesco.org/en/list/692,pending,,,
central_congo_odzala_consent,1,Congo,Odzala-Kokoua,Local and Indigenous communities around Odzala-Kokoua,TRADITION,intermediate,What principle should guide management affecting Indigenous Peoples at Odzala-Kokoua?,"Free, prior and informed consent",draft,yes,"Indigenous community terminology, rights and knowledge require community-led review; historical source labels must not override current self-identification.",Forest Massif of Odzala-Kokoua,https://whc.unesco.org/en/list/692,pending,,,
central_drc_okapi_fraction,1,Democratic Republic of the Congo,Ituri forest,"Mbuti, Efe and other Ituri communities",GEOGRAPHY,advanced,About how much of the Ituri forest lies in the Okapi Wildlife Reserve?,One fifth,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Okapi Wildlife Reserve,https://whc.unesco.org/en/list/718,pending,,,
central_drc_okapi_identity,1,Democratic Republic of the Congo,Ituri forest,"Mbuti, Efe and other Ituri communities",GEOGRAPHY,introductory,What kind of animal is an okapi?,A forest giraffe,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Okapi Wildlife Reserve,https://whc.unesco.org/en/list/718,pending,,,
central_drc_okapi_rivers,1,Democratic Republic of the Congo,Ituri forest,"Mbuti, Efe and other Ituri communities",GEOGRAPHY,intermediate,Which rivers create notable waterfalls in the Okapi Wildlife Reserve?,Ituri and Epulu,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Okapi Wildlife Reserve,https://whc.unesco.org/en/list/718,pending,,,
central_drc_okapi_rights,1,Democratic Republic of the Congo,Ituri forest,"Mbuti, Efe and other Ituri communities",TRADITION,introductory,Why must conservation accounts of the Okapi Reserve include Mbuti and Efe perspectives?,Their cultural and material lives are connected to the forest,draft,yes,"Indigenous community terminology, rights and knowledge require community-led review; historical source labels must not override current self-identification.",Okapi Wildlife Reserve,https://whc.unesco.org/en/list/718,pending,,,
central_drc_kuba_state,1,Democratic Republic of the Congo,Kasai region,Kuba peoples,HISTORY,intermediate,How does The Met describe the historical Kuba kingdom?,A multiethnic state formed from several principalities,draft,yes,Archaeology and ancient political history require local heritage review; do not map past cultures directly onto modern identities.,Kingdoms of the Savanna: The Kuba Kingdom,https://www.metmuseum.org/essays/kingdoms-of-the-savanna-the-kuba-kingdom,pending,,,
central_drc_kuba_founder,1,Democratic Republic of the Congo,Kasai region,Kuba peoples,ORAL HISTORY,advanced,Who is remembered in Kuba oral histories as a major political architect?,Shyaam aMbul aNgoong,draft,yes,"Indigenous community terminology, rights and knowledge require community-led review; historical source labels must not override current self-identification.",Kingdoms of the Savanna: The Kuba Kingdom,https://www.metmuseum.org/essays/kingdoms-of-the-savanna-the-kuba-kingdom,pending,,,
central_drc_kuba_ndop,1,Democratic Republic of the Congo,Kasai region,Kuba peoples,ART,introductory,What is an ndop in Kuba court art?,An idealized royal portrait sculpture,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,Kingdoms of the Savanna: The Kuba Kingdom,https://www.metmuseum.org/essays/kingdoms-of-the-savanna-the-kuba-kingdom,pending,,,
central_drc_kuba_ibol,1,Democratic Republic of the Congo,Kasai region,Kuba peoples,SYMBOLS,intermediate,How is a ruler identified on a Kuba ndop?,By a personal emblem called an ibol,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,Kingdoms of the Savanna: The Kuba Kingdom,https://www.metmuseum.org/essays/kingdoms-of-the-savanna-the-kuba-kingdom,pending,,,
central_gabon_lope_interface,1,Gabon,Middle Ogooué valley,Lopé-Okanda communities and heritage custodians,GEOGRAPHY,introductory,Which environments meet at Lopé-Okanda?,Tropical rainforest and relict savanna,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Ecosystem and Relict Cultural Landscape of Lopé-Okanda,https://whc.unesco.org/en/list/1147,pending,,,
central_gabon_lope_petroglyphs,1,Gabon,Middle Ogooué valley,Lopé-Okanda communities and heritage custodians,ART & HISTORY,intermediate,Approximately how many petroglyphs are recorded at Lopé-Okanda?,"About 1,800",draft,yes,Archaeology and ancient political history require local heritage review; do not map past cultures directly onto modern identities.,Ecosystem and Relict Cultural Landscape of Lopé-Okanda,https://whc.unesco.org/en/list/1147,pending,,,
central_gabon_lope_timespan,1,Gabon,Middle Ogooué valley,Lopé-Okanda communities and heritage custodians,HISTORY,advanced,How far back does settlement evidence at Lopé-Okanda extend?,"Roughly 400,000 years",draft,yes,Archaeology and ancient political history require local heritage review; do not map past cultures directly onto modern identities.,Ecosystem and Relict Cultural Landscape of Lopé-Okanda,https://whc.unesco.org/en/list/1147,pending,,,
central_gabon_lope_corridor,1,Gabon,Middle Ogooué valley,Lopé-Okanda communities and heritage custodians,LANGUAGE,introductory,Which river valley helped movement of peoples and Bantu languages through Lopé-Okanda?,The Ogooué valley,draft,yes,"Regional or national classification is editorial, not a claim of uniform identity; require local review of cross-border framing.",Ecosystem and Relict Cultural Landscape of Lopé-Okanda,https://whc.unesco.org/en/list/1147,pending,,,
central_gabon_ivindo_location,1,Gabon,Northern equatorial Gabon,Ivindo communities and conservation custodians,GEOGRAPHY,intermediate,Where is Ivindo National Park situated?,On the equator in northern Gabon,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Ivindo National Park,https://whc.unesco.org/en/list/1653,pending,,,
central_gabon_ivindo_waters,1,Gabon,Northern equatorial Gabon,Ivindo communities and conservation custodians,GEOGRAPHY,introductory,What gives Ivindo much of its distinctive landscape?,"Blackwater rivers, rapids and waterfalls",draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Ivindo National Park,https://whc.unesco.org/en/list/1653,pending,,,
central_gabon_ivindo_plants,1,Gabon,Northern equatorial Gabon,Ivindo communities and conservation custodians,GEOGRAPHY,intermediate,Which plants have probable micro-endemic species around Ivindo's waterfalls?,Podostemaceae riverweeds,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Ivindo National Park,https://whc.unesco.org/en/list/1653,pending,,,
central_gabon_ivindo_forest,1,Gabon,Northern equatorial Gabon,Ivindo communities and conservation custodians,GEOGRAPHY,advanced,What kind of forest is especially significant at Ivindo?,Old-growth Caesalpinioideae forest,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Ivindo National Park,https://whc.unesco.org/en/list/1653,pending,,,
central_regional_mvet_countries,1,Cameroon; Congo; Gabon,Cross-border Ekang cultural area,Ekang communities,GEOGRAPHY,introductory,Which three countries jointly nominated Mvet Oyeng to UNESCO?,"Gabon, Cameroon and Congo",draft,yes,"Regional or national classification is editorial, not a claim of uniform identity; require local review of cross-border framing.","Mvet Oyeng, musical art, practices and skills associated with the Ekang community",https://ich.unesco.org/en/RL/mvet-oyeng-musical-art-practices-and-skills-associated-with-the-ekang-community-02253,pending,,,
central_regional_mvet_audience,1,Cameroon; Congo; Gabon,Cross-border Ekang cultural area,Ekang communities,MUSIC,intermediate,How can an audience participate in Mvet Oyeng?,"By clapping, singing, playing sticks and engaging with the storyteller",draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,"Mvet Oyeng, musical art, practices and skills associated with the Ekang community",https://ich.unesco.org/en/RL/mvet-oyeng-musical-art-practices-and-skills-associated-with-the-ekang-community-02253,pending,,,
central_regional_mvet_forms,1,Cameroon; Congo; Gabon,Cross-border Ekang cultural area,Ekang communities,TRADITION,introductory,What distinction does UNESCO make within Mvet Oyeng?,Sacred and popular forms,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,"Mvet Oyeng, musical art, practices and skills associated with the Ekang community",https://ich.unesco.org/en/RL/mvet-oyeng-musical-art-practices-and-skills-associated-with-the-ekang-community-02253,pending,,,
central_regional_mvet_values,1,Cameroon; Congo; Gabon,Cross-border Ekang cultural area,Ekang communities,TRADITION,intermediate,What can Mvet Oyeng transmit besides entertainment?,"Local history, language and community values",draft,yes,"Indigenous community terminology, rights and knowledge require community-led review; historical source labels must not override current self-identification.","Mvet Oyeng, musical art, practices and skills associated with the Ekang community",https://ich.unesco.org/en/RL/mvet-oyeng-musical-art-practices-and-skills-associated-with-the-ekang-community-02253,pending,,,
central_saotome_tchiloli_setting,1,Sao Tome and Principe,São Tomé island,Tchiloli groups and audiences,ART,advanced,Where is Tchiloli typically performed?,In an open-air public space,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,"Tchiloli, living theatre of Sao Tome and Principe in the quest of justice",https://ich.unesco.org/en/RL/tchiloli-living-theatre-of-sao-tome-and-principe-in-the-quest-of-justice-02309,pending,,,
central_saotome_tchiloli_story,1,Sao Tome and Principe,São Tomé island,Tchiloli groups and audiences,ART & HISTORY,introductory,What kind of case drives the Tchiloli drama?,A murder trial,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,"Tchiloli, living theatre of Sao Tome and Principe in the quest of justice",https://ich.unesco.org/en/RL/tchiloli-living-theatre-of-sao-tome-and-principe-in-the-quest-of-justice-02309,pending,,,
central_saotome_tchiloli_scale,1,Sao Tome and Principe,São Tomé island,Tchiloli groups and audiences,TRADITION,intermediate,About how many actors can take part in a Tchiloli performance?,About thirty,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,"Tchiloli, living theatre of Sao Tome and Principe in the quest of justice",https://ich.unesco.org/en/RL/tchiloli-living-theatre-of-sao-tome-and-principe-in-the-quest-of-justice-02309,pending,,,
central_saotome_tchiloli_opening,1,Sao Tome and Principe,São Tomé island,Tchiloli groups and audiences,TRADITION,introductory,Who typically leads the ritual that begins Tchiloli?,Women,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,"Tchiloli, living theatre of Sao Tome and Principe in the quest of justice",https://ich.unesco.org/en/RL/tchiloli-living-theatre-of-sao-tome-and-principe-in-the-quest-of-justice-02309,pending,,,
central_equatorial_tentative_status,1,Equatorial Guinea,,Equatoguinean heritage communities and custodians,MODERN HISTORY,intermediate,What does placement on UNESCO's Tentative List mean?,The state may consider a property for future nomination,draft,yes,"Regional or national classification is editorial, not a claim of uniform identity; require local review of cross-border framing.",Equatorial Guinea Tentative List,https://whc.unesco.org/en/tentativelists/?action=listtentative&state=gq,pending,,,
central_equatorial_luba,1,Equatorial Guinea,Bioko,Communities and custodians around Luba Caldera,GEOGRAPHY,advanced,Which proposed Equatorial Guinea property is named for a volcanic caldera?,Luba Caldera Scientific Reserve,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Equatorial Guinea Tentative List,https://whc.unesco.org/en/tentativelists/?action=listtentative&state=gq,pending,,,
central_equatorial_annobon,1,Equatorial Guinea,Annobón,Annobonese communities and heritage custodians,GEOGRAPHY,introductory,Which island nature reserve appears on Equatorial Guinea's Tentative List?,Annobón Nature Reserve,draft,yes,"Regional or national classification is editorial, not a claim of uniform identity; require local review of cross-border framing.",Equatorial Guinea Tentative List,https://whc.unesco.org/en/tentativelists/?action=listtentative&state=gq,pending,,,
